_id,GID,COD_CIRCUITO,TURNO_HORARIO,X,Y
5097,47350,G_DU_RM_CL_14       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",571002.2992897909,6150408.930710186
5098,47728,D_DU_RM_CL_13       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,575419.0024618617,6146806.809628553
5099,47736,G_DU_RM_CL_10       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570441.0753952691,6144460.08555342
5100,47822,G_DU_RM_CL_08       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",568922.4608628167,6148295.386627475
5101,48085,D_DU_RM_CL_15       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,577706.5891131349,6142076.490692259
5102,48085,D_DU_RM_CL_15       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,577706.5891131349,6142076.490692259
5103,48085,D_DU_RM_CL_15       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,577706.5891131349,6142076.490692259
5104,48256,G_DU_RM_CL_10       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570577.0031546713,6145450.454651525
5105,40137,G_DU_RM_CL_01       ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",571788.480017721,6143673.519149643
5106,44766,F_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",582940.6933830692,6141284.327649234
5107,45600,C_DU_RM_CL_12       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ",575875.2453788032,6140559.579812097
5108,46221,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",569431.7558228414,6146291.47989095
5109,46231,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",569673.0493154401,6146576.585909395
5110,46236,G_DU_RM_CL_11       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",569464.9137207477,6146398.109965513
